Date/Time,Avg. Temp Deg. C,Avg. Windspeed (mps),Wind Direction (deg) ,Avg. Rel. Humid (%),Atmos Press (mb),Avg. Solar Rad. (W) ,Daily Rain (mm)
1/1/22 0:00,6.465,0.92,221,99.7,1014,0.017,0
1/1/22 0:10,6.512,0.907,220.8,99.7,1014,0.004,0
1/1/22 0:20,6.542,1.02,226,99.7,1014,0.002,0
1/1/22 0:30,6.527,1.116,212.9,99.7,1014,0.01,0
1/1/22 0:40,6.542,1.166,221.2,99.7,1014,0.001,0
1/1/22 0:50,6.504,1.047,223,99.7,1014,0,0
1/1/22 1:00,6.506,0.667,213.6,99.7,1014,0,0
1/1/22 1:10,6.502,0.876,221.9,99.7,1014,0,0
1/1/22 1:20,6.484,0.629,213,99.7,1014,0,0
1/1/22 1:30,6.471,0.354,200.5,99.7,1014,0,0
1/1/22 1:40,6.48,0.268,202.2,99.7,1014,0,0
1/1/22 1:50,6.506,0.381,196.4,99.7,1014,0,0
1/1/22 2:00,6.524,0.269,189.7,99.7,1014,0,0
1/1/22 2:10,6.482,0.173,170,99.7,1014,0,0
1/1/22 2:20,6.47,0.071,179.5,99.7,1014,0,0
1/1/22 2:30,6.497,0,0,99.7,1014,0.006,0
1/1/22 2:40,6.472,0.36,135.7,99.7,1014,0,0
1/1/22 2:50,6.483,0.217,165.8,99.7,1014,0,0
1/1/22 3:00,6.458,0.553,171.4,99.7,1014,0,0
1/1/22 3:10,6.475,0.509,206.3,99.7,1014,0.005,0
1/1/22 3:20,6.512,0.749,183.9,99.7,1013,0,0
1/1/22 3:30,6.504,0.787,174.2,99.7,1013,0,0
1/1/22 3:40,6.503,1.124,162.9,99.7,1013,0,0
1/1/22 3:50,6.505,0.687,152.6,99.7,1013,0,0
1/1/22 4:00,6.492,0.94,161.6,99.7,1013,0,0
1/1/22 4:10,6.47,0.324,178.3,99.7,1013,0,0
1/1/22 4:20,6.467,0.923,171.1,99.7,1013,0,0
1/1/22 4:30,6.487,1.505,165.4,99.7,1013,0,0
1/1/22 4:40,6.54,0.979,177.6,99.7,1013,0.001,0
1/1/22 4:50,6.551,0.699,178.7,99.7,1013,0,0
1/1/22 5:00,6.553,0.922,170.4,99.7,1012,0,0
1/1/22 5:10,6.568,0.963,173.4,99.7,1012,0,0
1/1/22 5:20,6.594,1.048,163.9,99.7,1012,0,0
1/1/22 5:30,6.568,0.477,190.7,99.7,1012,0,0
1/1/22 5:40,6.609,0.31,188.1,99.7,1012,0.01,0
1/1/22 5:50,6.64,0.28,177,99.7,1012,0,0
1/1/22 6:00,6.635,1.271,162.5,99.7,1012,0,0
1/1/22 6:10,6.618,1.064,160.4,99.7,1012,0,0
1/1/22 6:20,6.608,1.446,162.3,99.7,1012,0.002,0
1/1/22 6:30,6.679,1.177,171,99.7,1012,0.001,0
1/1/22 6:40,6.67,1.44,165.2,99.7,1012,0,0
1/1/22 6:50,6.592,1.42,171.7,99.7,1011,0,0
1/1/22 7:00,6.612,0.937,189.6,99.7,1012,0.017,0
1/1/22 7:10,6.719,1.187,209.9,99.7,1012,0.021,0.254
1/1/22 7:20,6.688,0.551,211.4,99.7,1012,0.135,0
1/1/22 7:30,6.664,0.865,150.1,99.7,1012,0.429,0
1/1/22 7:40,6.637,2.066,156.9,99.7,1011,0.97,0.254
1/1/22 7:50,6.624,1.477,164.9,99.7,1011,1.486,0
1/1/22 8:00,6.596,1.685,149.3,99.7,1011,3.206,0
1/1/22 8:10,6.56,1.861,153,99.7,1011,5.136,0
1/1/22 8:20,6.6,1.123,149.9,99.7,1011,7.024,0.254
1/1/22 8:30,6.649,1.262,152.2,99.7,1011,7.864,0
1/1/22 8:40,6.702,0.89,137.3,99.7,1011,11.47,0.254
1/1/22 8:50,6.672,0.989,143.8,99.7,1011,14.64,0
1/1/22 9:00,6.676,1.027,159.9,99.7,1011,12.29,0
1/1/22 9:10,6.692,1.037,167.2,99.7,1011,13.25,0
1/1/22 9:20,6.762,0.863,168.1,99.7,1011,11.31,0
1/1/22 9:30,6.824,0.137,209.1,99.7,1011,10.74,0
1/1/22 9:40,6.903,0.221,198.4,99.7,1011,9.32,0.254
1/1/22 9:50,6.962,0.13,180.5,99.7,1011,13.19,0
1/1/22 10:00,6.985,0,0,99.7,1011,16.92,0
1/1/22 10:10,7.022,0.09,182.6,99.7,1011,19,0
1/1/22 10:20,7.073,0.017,168.5,99.7,1011,21.74,0.254
1/1/22 10:30,7.123,0.138,244.4,99.7,1011,21.82,0
1/1/22 10:40,7.152,0.321,233.6,99.8,1011,27.39,0
1/1/22 10:50,7.207,0.399,235.2,99.9,1011,35.47,0
1/1/22 11:00,7.22,0.695,211.2,99.8,1010,32.74,0
1/1/22 11:10,7.211,0.893,206.7,99.8,1010,41.72,0.254
1/1/22 11:20,7.258,0.393,186.1,99.8,1010,48.83,0
1/1/22 11:30,7.294,0.633,184.5,99.8,1010,35.11,0
1/1/22 11:40,7.238,1.555,167.8,99.8,1009,52.29,0
1/1/22 11:50,7.271,0.976,172.4,99.8,1009,68.84,0
1/1/22 12:00,7.425,0.647,172.1,99.8,1009,92.9,0
1/1/22 12:10,7.541,0.999,177.9,99.8,1009,87.1,0
1/1/22 12:20,7.62,1.276,175.8,99.8,1009,100.9,0
1/1/22 12:30,7.712,1.569,172,99.8,1009,104.9,0
1/1/22 12:40,7.782,1.203,175,99.8,1009,90.7,0
1/1/22 12:50,7.896,0.888,174.6,99.8,1009,89.3,0
1/1/22 13:00,7.989,1.013,197.1,99.8,1008,90.3,0
1/1/22 13:10,8.04,1.388,215.3,99.8,1008,81.5,0
1/1/22 13:20,8.07,0.494,230.1,99.8,1008,63.21,0
1/1/22 13:30,8.03,0.952,235.9,99.8,1008,62.73,0
1/1/22 13:40,8.02,0.163,226.2,99.8,1008,67.6,0
1/1/22 13:50,8.08,0,0,99.8,1008,77.23,0
1/1/22 14:00,8.18,0,0,99.8,1008,88.3,0
1/1/22 14:10,8.28,0,0,99.8,1008,77.67,0
1/1/22 14:20,8.32,0,0,99.8,1008,75.21,0
1/1/22 14:30,8.42,0,0,99.8,1008,84.8,0
1/1/22 14:40,8.55,0,0,99.8,1008,95.8,0
1/1/22 14:50,8.53,0.07,158.3,99.8,1007,59.94,0
1/1/22 15:00,8.43,0.982,140.9,99.8,1007,41.78,0
1/1/22 15:10,8.34,0.487,140.8,99.8,1007,33.14,0
1/1/22 15:20,8.32,0.428,142.2,99.8,1007,29.67,0
1/1/22 15:30,8.27,1.279,159.8,99.8,1007,22.38,0
1/1/22 15:40,8.24,0.464,150.6,99.8,1007,14.84,0
1/1/22 15:50,8.23,0.15,141.7,99.8,1007,11.27,0
1/1/22 16:00,8.24,0,0,99.8,1007,8.2,0
